epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.935,1.24404,2.32025,1.21657,0.7342,0.77662,0.77555,0.52258,1.1425,1.27391,1.10689,0.00333063,0.00333063,0.00333063
2,404.552,1.0986,1.27576,1.14223,0.87463,0.76344,0.84567,0.55352,1.18165,1.26028,1.13528,0.00663098,0.00663098,0.00663098
3,592.758,1.10199,1.13493,1.16658,0.87757,0.77226,0.85196,0.53769,1.29554,1.16581,1.2269,0.00989832,0.00989832,0.00989832
4,778.128,1.09969,1.00011,1.19715,0.91853,0.80641,0.86603,0.54315,1.25812,1.11768,1.27118,0.0098515,0.0098515,0.0098515
5,963.008,1.02078,0.80745,1.15914,0.86244,0.83789,0.85917,0.58058,1.13596,0.96425,1.18919,0.009802,0.009802,0.009802
6,1147.94,0.93637,0.68399,1.11623,0.90321,0.87535,0.89593,0.59425,1.16006,0.87836,1.20046,0.0097525,0.0097525,0.0097525
7,1333.04,0.87587,0.60687,1.07902,0.91777,0.88508,0.90272,0.62209,1.10241,0.82618,1.17837,0.009703,0.009703,0.009703
8,1517.99,0.82413,0.55168,1.05174,0.92609,0.90292,0.92509,0.6349,1.10798,0.7083,1.18322,0.0096535,0.0096535,0.0096535
9,1703.53,0.78933,0.5119,1.03252,0.93819,0.90005,0.91751,0.64421,1.06829,0.71434,1.15714,0.009604,0.009604,0.009604
10,1889.51,0.74841,0.47904,1.01047,0.93372,0.88176,0.92201,0.65646,1.0086,0.7002,1.12118,0.0095545,0.0095545,0.0095545
11,2074.78,0.71275,0.45957,0.99108,0.92962,0.89627,0.91646,0.6442,1.05896,0.72453,1.17982,0.009505,0.009505,0.009505
12,2260.61,0.68759,0.43856,0.97585,0.95005,0.88867,0.93201,0.64812,1.06353,0.6548,1.18323,0.0094555,0.0094555,0.0094555
13,2446.37,0.65534,0.41826,0.95823,0.94402,0.89457,0.9275,0.66386,1.02238,0.66262,1.14615,0.009406,0.009406,0.009406
14,2632.03,0.63439,0.4036,0.94758,0.9367,0.90443,0.92099,0.64965,1.05808,0.63031,1.1898,0.0093565,0.0093565,0.0093565
15,2817.99,0.61629,0.38853,0.93864,0.95633,0.87434,0.93136,0.64659,1.07878,0.63085,1.21302,0.009307,0.009307,0.009307
16,3003.57,0.59441,0.37528,0.92737,0.95505,0.90994,0.93238,0.64411,1.0898,0.63991,1.21623,0.0092575,0.0092575,0.0092575
17,3189.37,0.57201,0.3617,0.91674,0.91138,0.90392,0.91849,0.65559,1.03617,0.63075,1.18518,0.009208,0.009208,0.009208
18,3375.01,0.55493,0.35588,0.90907,0.95601,0.89488,0.93335,0.65965,1.06217,0.60302,1.2189,0.0091585,0.0091585,0.0091585
19,3561.22,0.5421,0.34562,0.90268,0.9449,0.89254,0.92468,0.65513,1.0492,0.60825,1.19858,0.009109,0.009109,0.009109
20,3746.92,0.52963,0.33611,0.89629,0.94223,0.90664,0.93819,0.69495,0.97332,0.56607,1.12846,0.0090595,0.0090595,0.0090595
21,3932.51,0.51624,0.33084,0.88929,0.94586,0.89761,0.93246,0.67471,1.01088,0.58526,1.1711,0.00901,0.00901,0.00901
22,4118.14,0.50364,0.32436,0.88365,0.94465,0.88987,0.92906,0.66419,1.03204,0.60489,1.20648,0.0089605,0.0089605,0.0089605
23,4303.76,0.49472,0.31935,0.87906,0.93577,0.89156,0.93344,0.67289,1.0262,0.58169,1.18072,0.008911,0.008911,0.008911
24,4489.32,0.49007,0.31399,0.87722,0.95148,0.88682,0.93081,0.68118,0.99306,0.58021,1.16034,0.0088615,0.0088615,0.0088615
25,4674.24,0.47296,0.30704,0.87152,0.94613,0.90202,0.93645,0.67758,0.99565,0.56009,1.17909,0.008812,0.008812,0.008812
